fileId,username,rank,submit_ts,subm_id
152,Vedant Adlak,154,1723952143,1359788969
154,yzkkai,155,1723953353,1359818999
156,8jN9GrFDOz,156,1723952476,556411849
157,Shing Yan Li,157,1723953412,1359820585
155,Robert Costin,158,1723953034,1359810663
158,Srikkanth R,159,1723953458,1359821805
159,Lucky7,160,1723949889,556395625
161,Sariabell,161,1723953268,556416528
162,H.Chen,162,1723951418,556405305
160,Sambhav Jain,163,1723953004,1359809965
163,Harikrishna Shenoy,164,1723953021,1359810344
164,宫水三叶2🎈,165,1723950531,556399634
165,Andwerp,166,1723953388,1359819956
166,twitch_tv_qiqi_impact,167,1723953154,1359813811
167,chasel,168,1723953163,1359814052
168,adiya_nmit,169,1723951007,1359760838
169,xlx2,170,1723953519,1359823476
170,疏汐,171,1723953563,556418502
171,dapu81000,172,1723953595,1359825918
173,YaoBIG,173,1723952344,556411041
172,sysu_lcq,174,1723952153,556409911
175,CogentCoder73,175,1723953366,1359819361
174,trchen,176,1723952296,1359792840
176,Kaushik Shah,177,1723953398,1359820224
177,ggstddu,178,1723953413,556417442
178,superj6,179,1723952819,1359805401
179,magzybogues5191,180,1723950306,1359742554
180,ywwbill,181,1723952982,556414773
183,Lei Mingyu,182,1723951736,1359778843
181,Samyak Jain,183,1723950148,1359738458
182,zzack_zack,184,1723953509,1359823215
184,jwpassion1,185,1723953258,1359816486
185,Admiring ShockleyZns,186,1723953402,556417363
186,hero777,187,1723953516,1359823406
187,pikapika,188,1723951446,1359771719
188,zhou2003,189,1723949648,556394100
189,lihaicoder,190,1723953166,1359814133
190,BZH110,191,1723951376,1359770057
192,liujg3,192,1723949461,556392906
191,Ayush-1234,197,1723950000,1359734507
193,Julian,198,1723948869,1359704183
194,Coco,201,1723949870,1359731116
196,PyIsTheBestLang,202,1723950200,1359739801
199,faibzlz,208,1723950528,556399607
195,DestinyGod,210,1723950234,556397736
197,Sanath_Kulla,211,1723950471,1359746828
200,Darren Hp,215,1723950658,556400488
198,Ravi,217,1723950701,1359752760
203,蓝杉,220,1723950106,556396950
202,JeremyZhang96,233,1723951012,556402688
201,kkt_boar,245,1723950998,556402617
204,newhar,247,1723951136,556403485
205,道柒,249,1723950771,556401149
206,onlyblues,256,1723951212,556403966
207,Lin,258,1723951213,1359766090
208,Rahul Saini,259,1723951232,1359766575
209,Arucade,262,1723951258,1359767208
211,Kirill S,263,1723950967,1359759732
210,sheldon,266,1723950557,556399808
212,Berwyn Zhang,268,1723951006,556402660
215,Uncle_Bob,270,1723950977,556402497
213,连续函数,271,1723951324,556404696
214,朝花夕拾,273,1723951338,556404784
216,Nikhil babar,278,1723951472,1359772381
217,g129512,284,1723951198,1359765668
220,babinclaudiu,290,1723951171,1359765008
218,YarosHarm,292,1723951586,1359775151
219,Xiaoyu Wang,293,1723951289,1359767906
221,timothyleong97,294,1723951593,1359775334
222,ca_dream,295,1723951201,556403902
225,scotchtape,297,1723951601,1359775526
223,regain0001,298,1723951134,556403469
224,Camellia_y,299,1723951313,556404628
226,Ayanerru,303,1723951647,1359776670
228,Gaurav,309,1723951706,1359778128
229,Ajayreddy,311,1723950534,1359748459
227,Dk95_letsgo,316,1723951142,1359764259
230,Huy Phước,326,1723950775,1359754740
232,Haocheng,331,1723950674,556400596
233,Lunat,345,1723951131,556403455
234,uwuenvy,347,1723951301,1359768210
236,mastoori1234,357,1723949856,1359730729
231,vijaykatta3094,358,1723951354,1359769520
235,wanderingCicada,359,1723952000,1359785340
237,Hughstudy,361,1723950721,556400870
238,POTATO,362,1723951415,556405285
239,Quynh,366,1723952052,1359786707
241,WYJ20154348,367,1723951757,556407474
240,WJ Sun,373,1723952084,556409502
246,Di Ying,374,1723951552,1359774299
242,Xianjie Deng,380,1723952099,1359787878
243,nickname,386,1723951545,556406130
244,James Lew,391,1723950649,1359751473
247,Windlike man,395,1723951899,556408362
245,yzy,397,1723951909,556408414
248,Sakura,399,1723952107,556409633
249,Neeraj Kumar,403,1723952238,1359791376
251,macrohard,412,1723952280,1359792480
250,I3eautiful Wo2niakOwy,413,1723951983,556408871
253,无名棋脚,422,1723951713,556407198
254,Akshai,423,1723951717,1359778390
252,卑微大三在线找活,425,1723951721,556407251
255,Gauravwadhai,431,1723950892,1359757804
256,Nrusimha Teja,437,1723952373,1359794715
262,Aruj Bansal,440,1723951489,1359772772
260,Itsuki,444,1723952102,556409596
258,Kuo-Yu Huang,450,1723952426,1359795992
259,Pratham Agarwal,451,1723952426,1359795994
257,Noobron,455,1723952449,1359796523
264,Owase301,458,1723952451,1359796570
