groupId,fileId,username,rank,subm_ts
0,403,dokenobuggy799,405,1718507763.0
0,972,aayuushh15,974,1718508016.0
0,1004,invincible142002,1005,1718508682.0
0,1121,randomGirl,1123,1718508694.0
0,1158,Anoop6598Rai,1161,1718509094.0
0,945,Dhruv_1018,942,1718508547.0
0,708,malikmanish09876,712,1718507812.0
0,879,12112209,881,1718507639.0
0,826,bhatganeshdarshan10,827,1718508255.0
0,277,_brucewayne_,278,1718506429.0
0,1183,pensive-easleys0j,1185,1718508835.0
0,1017,_mohit__,1020,1718509020.0
0,765,ayan_200,766,1718508122.0
0,819,mfk443838746,818,1718507937.0
0,812,Anand-Bharti,814,1718507931.0
0,644,g0rez,646,1718506924.0
0,685,joyjitdas_7,685,1718507931.0
0,1166,PrepAcc,1168,1718507605.0
0,7,brycelo,8,1718505768.0
0,997,Raju2004,1000,1718507741.0
0,313,xyz_xyz_xyz_xyz,314,1718506841.0
0,1188,chaitanyaarora30,1189,1718508839.0
0,321,death_of_might,322,1718506878.0
0,191,feibonaqixu,196,1718507034.0
0,790,kingm01,791,1718507287.0
0,939,parasNAGPAL99,940,1718508541.0
0,730,Dhruvgarg_1943,730,1718506620.0
0,199,mahesh_02,200,1718506150.0
0,470,rudra_rps,470,1718507635.0
0,794,Sahil_JJ,797,1718508503.0
0,317,Sanjeet63,319,1718505890.0
0,1113,braindroid,1113,1718507173.0
0,724,monika2240,725,1718507726.0
0,700,s87602,702,1718508282.0
0,1169,Himanshu_Singh11,1169,1718509706.0
0,519,being_sukham,521,1718507778.0
0,1198,Rishita_maheshwari,1198,1718508874.0
0,539,adiroy2,540,1718507843.0
0,39,curiosity-10,42,1718506209.0
0,253,gurukoushik08,254,1718506648.0
0,714,rastsislau,716,1718508310.0
0,820,saurabhsahu0412,822,1718507345.0
0,928,00_Sagar_Kumar,928,1718507219.0
0,1046,Shahi77,1048,1718508286.0
0,914,berkeleyColin,916,1718508485.0
0,735,sgr84ayushi,733,1718507594.0
0,1170,issylu1101,1171,1718508809.0
0,1133,Abhishek_m07,1131,1718509017.0
0,627,anasjawedofficial,628,1718507175.0
0,664,krishrb2517,666,1718507875.0
0,273,sahilanand,271,1718507006.0
0,562,deepanju014,564,1718507318.0
0,861,Harshitcode,862,1718507155.0
0,651,AyushDixit21,651,1718506372.0
0,847,DARKcryptic,850,1718508778.0
0,251,agomi123,251,1718506342.0
0,487,theStark,489,1718507963.0
0,789,believer_79,787,1718507580.0
0,510,lit-11,510,1718507132.0
0,461,harsh_reality_,464,1718507912.0
0,658,shibzzz,657,1718508146.0
0,746,himcoder0,747,1718508377.0
0,946,sohamslc5,947,1718508555.0
0,410,ItzWho,407,1718506876.0
0,239,techie-arpit,240,1718507207.0
0,962,Rajan_dubey,963,1718508596.0
0,973,sarthak10092003,975,1718508317.0
0,388,Jay_Dhanwalkar,389,1718507399.0
0,378,swarriors223,380,1718507675.0
0,881,Heng_Xin,882,1718508710.0
0,434,coderman2004,435,1718507249.0
0,1194,Mr_Shyyyy_07,1193,1718508852.0
0,934,Mdkaif2938,935,1718509126.0
0,604,waiting_you,605,1718507429.0
0,1009,FightEveryDay,1014,1718508404.0
0,1083,gourabsingha2,1082,1718509354.0
0,361,NitishBharat,360,1718507310.0
0,1075,Kraizan,1076,1718509168.0
0,1197,JhaAdarsh002,1199,1718509177.0
1,218,ja235711,219,1718506826.0
1,398,n124345679976,400,1718506836.0
1,83,Silken,83,1718505671.0
1,47,tmoux,49,1718505978.0
1,512,charleswang2001,512,1718507137.0
1,570,gaoyf1235,568,1718507325.0
1,910,zwling,911,1718508473.0
1,1180,starryxsky,1179,1718508820.0
2,96,wOvOpy,98,1718506512.0
2,119,gallant-hellman60e,119,1718506383.0
2,771,CQUPT_CZL,772,1718507829.0
2,103,magic1024,104,1718506616.0
2,1069,Yashwanth14,1071,1718509152.0
3,125,ARNOLD66,128,1718506741.0
3,535,ankushtyagi7777,536,1718507816.0
3,440,ninja_master2002,441,1718507273.0
3,581,trigerrr,584,1718507975.0
4,605,Coding_geek20,606,1718508030.0
4,679,piyush_razz,681,1718507621.0
4,924,aryansingh027,926,1718508810.0
4,396,tanuj_123,397,1718507132.0
5,182,wkingyu,183,1718506685.0
5,1141,t38178,1143,1718506841.0
5,284,SleepyJie,286,1718506586.0
6,58,jszhang710,62,1718506386.0
6,248,m-iller,250,1718506341.0
6,452,bruteForce18,451,1718507891.0
7,226,wisdompeak,225,1718506838.0
7,1021,waster,1022,1718507826.0
7,299,KaivinC,299,1718507103.0
8,543,shivamp_07,545,1718507010.0
8,838,s1967,841,1718507989.0
8,1200,Gaurav_Bilotia1,1202,1718508883.0
9,662,jam-hsu,663,1718508472.0
9,1032,user6639bv,1033,1718508455.0
10,1022,mr_kamran,1025,1718509033.0
10,1054,ShyamSunder_11,1056,1718508514.0
11,829,donpaul299,830,1718508568.0
11,957,Sanyasi,958,1718508278.0
12,499,9560kiran,501,1718508006.0
12,602,abhisheksoni125,603,1718508326.0
13,416,tiny-snow,415,1718507796.0
13,732,Tiny_Snow,734,1718507740.0
14,702,yogindra39265,703,1718507385.0
14,932,prabhatsingh2700,933,1718508223.0
15,531,shivamxdd,532,1718505725.0
15,551,Zeyu_Shen,554,1718507574.0
16,860,Prabhat_007,857,1718507739.0
16,942,Jack_knight,944,1718507949.0
17,282,hab_ee_b,283,1718507034.0
17,1178,Fangchen971101,1180,1718509723.0
18,132,taoz-kc,131,1718506466.0
18,608,rukt,610,1718507136.0
19,615,AyushYadav56,613,1718506966.0
19,1096,Klu_2100031404,1097,1718509337.0
20,219,YakultSea,221,1718507100.0
20,494,qq1239426256,497,1718507091.0
21,453,aypatrl04,457,1718507897.0
21,1152,aypatrl,1152,1718507879.0
22,593,dekail,592,1718508244.0
22,1146,krisWuCHYC,1147,1718507976.0
23,197,pein531,199,1718506150.0
23,221,12121-b,222,1718507133.0
24,625,an1ket_62,626,1718507164.0
24,684,Weeentar_Wind,687,1718508403.0
25,40,xymabinogi,43,1718506245.0
25,183,sumon_1212,185,1718506692.0
