fileId,username,rank,submit_ts
0,Yawn_Sean,0,1716086326.0
2,jonathanirvings,1,1716086326.0
1,sisyphus3,2,1716086383.0
3,PurpleCrayon,3,1716086393.0
5,fjzzq2002,4,1716086402.0
6,Coder-256,5,1716086434.0
4,ethanrao,6,1716086352.0
7,fmota,7,1716086577.0
12,nguyenquocthao00,8,1716086619.0
14,pandaforever,9,1716086640.0
8,green_pig,10,1716086655.0
16,ajinkya1p3,11,1716086656.0
10,plasmatic,12,1716086720.0
9,chh9976,13,1716086720.0
11,psychological,14,1716086722.0
13,SaveVMK,15,1716086722.0
15,Dormi,16,1716086724.0
18,thomas-li,17,1716086742.0
19,penguinhacker,18,1716086461.0
23,DylanSmith,19,1716086766.0
17,AkameOuO,20,1716086784.0
20,lydxlx,21,1716086485.0
21,SR3mix,22,1716086796.0
22,killer-whale,23,1716086800.0
24,Andycipation,24,1716086802.0
25,balakrishnan_v,25,1716086374.0
26,timetoai,26,1716086835.0
27,Ma_Lin,27,1716086839.0
28,coleworld223,28,1716086542.0
29,waakaaka,29,1716086843.0
30,66bro-CUNY,30,1716086863.0
32,mbfibat,31,1716086889.0
31,trantai,32,1716086450.0
33,bufferjjh,33,1716086898.0
34,WRWRW,34,1716086903.0
35,delphih,35,1716086904.0
38,cai_lw,36,1716086615.0
36,Superultra,37,1716086524.0
37,kaq,38,1716086937.0
39,_kevinyang,39,1716086639.0
40,d_ananta_,40,1716086953.0
41,prajwal_733,41,1716086962.0
42,friedall,42,1716086679.0
43,Abhi_Srivastava,43,1716086989.0
45,mikeqiyh,44,1716086968.0
44,cchao,45,1716087028.0
48,vonrong,46,1716086414.0
51,petabyte,47,1716087041.0
46,curiosity-10,48,1716087041.0
47,ferferge,49,1716087056.0
50,urimaj,50,1716087058.0
49,dream_boy,51,1716086583.0
52,A_Le_K,52,1716087064.0
53,4dalols,53,1716086653.0
54,brianlaw100,54,1716087079.0
56,Ayanerru,55,1716087097.0
55,KR_HayoungSong,56,1716086804.0
57,SleepyJie,57,1716086319.0
58,jessenwilliam87,58,1716087120.0
61,xs_pg,59,1716087121.0
59,iwnRwfzapZ,60,1716087122.0
60,tommydneill,61,1716086822.0
62,cybsbbbb,62,1716087133.0
63,scanhex,63,1716086537.0
64,nevergiveup,64,1716087156.0
67,Maruzensky,65,1716087158.0
65,XKTZ,66,1716086884.0
69,AntonRaichuk,67,1716087224.0
66,Wibo,68,1716087228.0
68,gonglinyuan,69,1716087235.0
71,JeffreyLC,70,1716087236.0
70,agrim07,71,1716087241.0
74,NatapongS,72,1716087242.0
72,thedude7181,73,1716087246.0
73,hxu10,74,1716087249.0
75,betsymp,75,1716087265.0
76,g129512,76,1716087257.0
77,yuwen-yan,77,1716087293.0
78,PiGuy1010,78,1716087032.0
79,winter_dragon,79,1716087301.0
81,cy171,80,1716087303.0
80,mufti,81,1716087022.0
82,plus2047,82,1716087326.0
83,jacobj2,83,1716087043.0
84,VIBE09,84,1716087344.0
85,salyu,85,1716087347.0
87,3R1C_,86,1716087368.0
86,LayCurse,87,1716087072.0
92,luyangg,88,1716087382.0
89,bombbox,89,1716087383.0
88,bool3,90,1716087385.0
90,shubhammishra4623,91,1716087388.0
91,MvKaio,92,1716086797.0
93,gan14008,93,1716087399.0
94,Siddharth_Joshi,94,1716087399.0
96,ernestlu,95,1716087399.0
97,jeffreyhu8,96,1716087406.0
98,hiteshgup09,97,1716087108.0
95,an1ket_62,98,1716087408.0
103,Amrharb,99,1716087419.0
100,chuan-chih,100,1716087424.0
104,zenolus,101,1716087427.0
99,AminFahiminia,102,1716087430.0
102,AmadeusChan,103,1716087431.0
105,hkmaxi,104,1716087132.0
101,aaronyen,105,1716087433.0
107,ianwong1999,106,1716087143.0
108,yangxm,107,1716087447.0
106,mdakram28,108,1716087460.0
109,l_returns,109,1716087472.0
119,SohamKanji,110,1716087492.0
110,BraveBLC,111,1716087493.0
112,stupidRR,112,1716087197.0
111,shivanshudixit16,113,1716087504.0
114,lucasschnee,114,1716087505.0
113,sky1429,115,1716087206.0
118,kumarapoorv617,116,1716087211.0
115,biharicoder,117,1716086709.0
122,2499370956,118,1716087523.0
117,user3911Gz,119,1716087526.0
116,RustyKitten,120,1716087532.0
123,ritik_369,121,1716087541.0
127,wjli,122,1716087246.0
120,BradV,123,1716087548.0
125,vassu118,124,1716087252.0
121,hicoder,125,1716087559.0
124,bnlvv,126,1716087562.0
128,_global,127,1716087265.0
130,Silken,128,1716087568.0
126,lihaicoder,129,1716087575.0
133,rupa6,130,1716087588.0
132,then00bprogrammer,131,1716087511.0
129,lm105013,132,1716087304.0
135,Terror_404,133,1716087308.0
131,AntonMelnyk,134,1716087613.0
134,never_seen,135,1716087316.0
139,RoadToIndiaNumber1,136,1716087021.0
137,wddd,137,1716087625.0
138,07dishwasherbob8,138,1716087628.0
136,xuhr,139,1716087637.0
143,zanj0,140,1716087339.0
145,xymabinogi,141,1716087639.0
142,VarunR,142,1716087044.0
141,yuhsiangliuz,143,1716087345.0
140,Abeed_shaik,144,1716087648.0
149,zokumyoin,145,1716087352.0
146,homeless_man,146,1716087658.0
144,mark_contest,147,1716087661.0
147,_otto,148,1716087662.0
153,akshayxml,149,1716087382.0
161,bahoang3105,150,1716087701.0
151,Jy_Tan,151,1716087403.0
156,agrawalji,152,1716087713.0
150,perry304,153,1716087715.0
148,metaphysica1412,154,1716087718.0
154,mkawa222,155,1716087735.0
155,rba123,156,1716087445.0
165,shubhambhadada7,157,1716087746.0
152,Belgutei0323,158,1716087447.0
163,ac130h,159,1716087751.0
159,glump1,160,1716087158.0
157,metaphysicalist,161,1716087759.0
158,meng-hsuan,162,1716087763.0
170,ruts,163,1716087777.0
160,wxy9018,164,1716087780.0
162,mike890505,165,1716087781.0
164,olderworse,166,1716087140.0
166,Hexadecimal,167,1716087787.0
168,iyerke,168,1716087488.0
167,cros107,169,1716087789.0
171,MeetBrahmbhatt,170,1716087795.0
173,itzRaghav,171,1716087501.0
169,CutSandstone,172,1716087202.0
174,Rainingcity,173,1716087504.0
172,pengtsen,174,1716087506.0
175,uwi,175,1716087213.0
177,mbakin,176,1716087815.0
181,HahahaHihihi,177,1716087816.0
178,theonepieceisreal,178,1716087517.0
183,btcmoon,179,1716087817.0
176,mrunankmistry52,180,1716087221.0
179,yumichael,181,1716087826.0
182,xyzabcdef,182,1716087537.0
180,deadRabbit,183,1716087241.0
184,mcy4ever,184,1716087543.0
191,Harshkriplani,185,1716087551.0
189,harryB17,186,1716087856.0
186,rajesh_sv,187,1716087857.0
185,tanakat01,188,1716087858.0
187,bloistercvlt,189,1716087865.0
188,hcpv5,190,1716087568.0
190,nicolasalba,191,1716087873.0
192,h-squared,192,1716087284.0
193,reincarnation4,193,1716087854.0
194,gude8997,194,1716087895.0
196,leovl48,195,1716087611.0
195,potatoY,196,1716087614.0
203,chinesedfan,197,1716087914.0
205,hahahiehie,198,1716087918.0
198,raincoat911,199,1716087320.0
199,zzjjbb,200,1716087627.0
197,tlh65,201,1716087627.0
201,jeyan_s,202,1716087929.0
202,Nippon2021,203,1716087935.0
200,cro_poder,204,1716087936.0
204,fsyun,205,1716087940.0
207,_srihari_,206,1716087642.0
209,Xiao__Jun,207,1716087946.0
