groupId,fileId,username,rank,subm_ts
0,198,allrounderankit,201,1719113478.0
0,387,sparsh8020,387,1719114520.0
0,225,astthecoder,224,1719113702.0
0,360,thisAyan,361,1719114027.0
1,89,lost-temple-2,88,1719112399.0
1,211,yuruiyin,213,1719113593.0
1,109,silvernarcissus,109,1719112646.0
2,11,sheepforever,11,1719111117.0
2,272,ni-hong-ge,275,1719113467.0
2,324,architagrawal2000,326,1719113777.0
3,196,pein531,196,1719112852.0
3,246,12121-b,248,1719113477.0
4,117,wenboz,118,1719112762.0
4,221,xie-bin-o,222,1719113067.0
5,372,charleszzz,372,1719114701.0
5,401,elated-hugleydp,401,1719114566.0
6,149,_neelytandel_,151,1719112774.0
6,308,harmit485,310,1719114301.0
7,266,Traveller_,268,1719113698.0
7,528,CoderAbhi27,530,1719114633.0
8,82,ilpyq_wasd003,84,1719111736.0
8,579,seaman003,582,1719111222.0
9,147,Homie_Lander7,150,1719112465.0
9,460,zongjy,462,1719114356.0
10,277,pratik_rockstar,281,1719113784.0
10,449,na-chang-meng-zhi-shi-ge-wu-jie,449,1719114225.0
11,1,tsreaper,1,1719110704.0
11,55,heal,55,1719111383.0
12,78,ericet1234,81,1719112037.0
12,166,Zeyu_Shen,168,1719112936.0
