groupId,fileId,username,rank,subm_ts
0,619,Aviralshukla26,620,1719719926.0
0,779,itsmeashu,780,1719719963.0
0,674,koder_69,676,1719719819.0
0,689,Playersmaycry,689,1719719847.0
0,725,varmadatla07,726,1719719975.0
0,784,TheAriyanBhaumik,785,1719719977.0
0,805,suzit,807,1719719805.0
0,811,_gulam786,815,1719719885.0
0,820,dhinchakpooja,819,1719719901.0
0,846,ayush0200,850,1719719803.0
0,882,kartikforwork,884,1719719579.0
0,884,NISHANT_JINDAL,888,1719719907.0
0,888,kalpanahepzi_2k2,890,1719719930.0
0,919,mohanish11,921,1719719981.0
0,940,Spandan1809,942,1719719828.0
0,946,_sainihimanshu,948,1719719850.0
0,947,Ivyan,949,1719719823.0
0,954,nikhilgoyal886,955,1719719807.0
0,955,async_lovekesh_859,956,1719719877.0
0,956,mrinal_sahay,958,1719719808.0
0,958,peter_pan69,961,1719719804.0
0,1063,megatron44,1063,1719719832.0
0,1067,sandeepcyber,1068,1719719861.0
0,1114,manelane,1116,1719719940.0
0,886,greatguy494,883,1719719877.0
0,939,Ansari_Irfan,939,1719719880.0
0,953,shailprasad70936,953,1719719889.0
0,872,Navya_Singh,872,1719719951.0
0,861,kumud22,862,1719719874.0
0,1049,akash4898,1050,1719719041.0
0,49,now_lets_go,48,1719716735.0
0,1047,Sarthak2509Agarwal,1045,1719719254.0
0,483,ardekarsanket,484,1719719080.0
0,1120,ayukumi,1119,1719719956.0
0,130,runtime-terror_63,131,1719715862.0
0,797,Stark-123,795,1719717483.0
0,941,rudra13904,940,1719719778.0
0,987,akasaudhan02,986,1719716465.0
0,1008,Cauxtic,1008,1719718383.0
0,182,nimish7866,181,1719715119.0
0,339,joyjitdas_7,340,1719718284.0
0,451,traveler1,449,1719719273.0
0,999,techie-arpit,998,1719718239.0
0,1118,akhilkr0104,1118,1719718857.0
0,1002,panu_10,1001,1719717715.0
0,1071,anmol_iiita,1071,1719717475.0
0,781,yashkataria15,781,1719719364.0
0,719,chetan_saini21,721,1719719964.0
0,1004,antwomen_1998,1004,1719718522.0
0,1113,RakshitAryan,1112,1719718691.0
0,966,prahlad_007,966,1719717661.0
0,1129,devakarkesavan,1130,1719719921.0
0,462,ravindranath_21,461,1719717345.0
0,673,pyjuan91,672,1719718908.0
0,1070,MeeT_2,1070,1719719590.0
0,573,swagat_k04,573,1719719762.0
0,134,piyush_0902,134,1719717655.0
0,208,curiosity-10,208,1719716942.0
0,982,f20220118,981,1719715601.0
0,259,animesh_2403,258,1719717224.0
0,835,Ayush_goyal_nitkkr,835,1719716743.0
0,104,mekashish,104,1719716459.0
0,778,rituraj2024,778,1719719957.0
0,1144,aaditya_21,1144,1719719662.0
0,849,bharti_upkar,848,1719719792.0
0,1078,harshkohar,1078,1719718751.0
0,703,lavishdungerpuriya,704,1719718162.0
0,423,lucifer357,425,1719717366.0
0,263,sangam2ishra,264,1719718178.0
0,701,Ayush253443,699,1719717802.0
0,431,someshghoshjoyguru,433,1719718335.0
0,409,Jack_knight,410,1719718244.0
0,752,prabyTripy,753,1719719791.0
0,989,Shubham_Tiwari55,990,1719716367.0
0,324,AtulKeshari,325,1719717441.0
0,419,unknown_fella,419,1719717096.0
0,1009,parthraut45,1009,1719718460.0
0,841,SanskarDhyani,837,1719719680.0
0,793,dha3102003,793,1719719739.0
0,690,FantasticoneSahil,690,1719719548.0
0,875,IQkNKMENL5,878,1719719725.0
0,753,anuragbnrj,751,1719719489.0
0,592,himanshuyadav6224,592,1719718616.0
0,780,mikasaaaa,779,1719717001.0
0,471,Akash_S29,472,1719719055.0
0,1065,Shubham__77,1064,1719719538.0
0,764,abhiram542,762,1719719839.0
0,47,newird,47,1719716728.0
0,876,shivamkumarsingh1064,876,1719719989.0
0,1012,chaitanyaarora30,1013,1719718556.0
0,969,sach_code,971,1719715436.0
0,585,visinigiri-aditya,583,1719719483.0
0,708,vikrxnt,711,1719719629.0
0,643,naman_shankar01,641,1719719982.0
0,493,allrounderankit,497,1719715230.0
0,973,Hs9320,974,1719717903.0
0,305,Lambert360,306,1719714852.0
0,733,kadyan21,733,1719719997.0
0,1000,rahulsah001,999,1719717941.0
0,623,hwasnik22,623,1719715433.0
0,568,xeriom23823,569,1719719750.0
0,654,sparsh8020,654,1719717589.0
0,712,ThisIsDPS08,710,1719716696.0
0,612,prashantgautam,611,1719715621.0
0,611,_JohnWick_004,613,1719718303.0
0,705,Skd-195,703,1719719300.0
0,415,singhyash3302,415,1719717769.0
0,368,jabnjvbawevbauivbnaeb,367,1719715410.0
0,543,priyanshzeref,541,1719719677.0
0,765,6wCFtsrIOx,766,1719719556.0
0,975,chetanyamahana,975,1719718647.0
0,1091,gehlotbhopesh007,1093,1719719904.0
0,491,ghostedshaman,490,1719716048.0
0,968,viratkohli_supremexcoder,968,1719717882.0
0,1007,nobitanobi_123,1007,1719718379.0
0,852,Manan0518,852,1719719812.0
0,901,em_priyank,901,1719718539.0
0,575,bhavesh884,577,1719719770.0
0,1066,next_utkarsh_108,1067,1719719257.0
0,1017,Himanshu845,1018,1719718410.0
0,1022,harsh1408,1022,1719718843.0
0,106,sorcerer007,106,1719717447.0
0,308,tarun_gatla,310,1719718429.0
0,401,pushkarv_2003,403,1719717256.0
