groupId,fileId,username,rank
0,717,forasssk,718
0,921,nirav114,922
0,49,nolv-v,53
0,593,tr1nity,595
1,1121,ciphercraft,1119
1,1218,P_Manav,1219
1,1126,coder1417,1124
2,70,Oshen,71
2,496,zhangsz1998,500
2,1084,chgliu,1087
3,1079,k_op_18,1081
3,1157,Krishna_xo18,1156
4,816,Ankit3020,815
4,952,tushargupta_1206,954
5,991,amitkumar2003,989
5,1095,rishabhraj5421,1099
6,393,upperknoot,391
6,958,parasguglani,957
7,308,rohitsatpute480,309
7,417,satputerohit00,419
8,911,pg_2,916
8,978,harshgkb,982
9,8,sheepforever,9
9,318,anupam_ghosh,321
10,3,penguinhacker,1
10,299,HackedAgain,300
11,484,larisyang,483
11,738,agitated-albattanil1g,738
12,380,leetcoder_bro,382
12,525,jk_s,527
