fileId1,fileId2,similarity
23,0,78
1041,966,100
554,389,100
3,2,91
23,3,73
23,2,70
227,148,73
759,148,71
775,148,71
148,14,70
824,802,100
148,33,72
841,817,100
1043,965,100
775,759,100
302,301,100
845,818,100
1091,999,100
724,722,100
475,465,100
1025,952,100
826,800,100
774,756,100
624,621,100
1167,1070,100
376,374,100
952,800,91
1025,800,91
952,826,91
1025,826,91
1037,961,100
781,764,100
1042,967,100
1127,1018,100
886,851,100
533,523,100
676,671,100
790,772,100
1039,962,100
531,518,100
788,771,100
1038,959,100
526,516,100
677,669,100
1125,1017,100
227,33,71
675,673,100
1030,953,100
1150,1060,100
997,931,82
480,468,100
1154,1063,100
127,119,84
299,297,100
1046,968,100
990,922,100
997,953,84
1030,997,84
528,517,100
620,619,100
722,221,73
724,221,73
195,150,77
479,469,100
525,515,100
844,820,100
904,722,79
904,724,79
327,325,100
778,762,100
674,670,100
843,772,89
843,790,89
776,761,100
892,857,100
722,274,75
724,274,75
779,763,100
991,918,100
782,766,100
953,931,80
1030,931,80
1094,1003,100
431,419,100
983,914,100
987,916,100
722,695,76
724,695,76
323,322,100
578,569,100
883,849,100
1095,1001,100
1126,1019,100
780,765,100
1031,954,100
1168,1067,100
893,858,100
837,810,100
695,666,81
846,819,100
786,768,100
530,519,100
777,758,100
1131,1021,100
611,331,100
1110,722,73
1110,724,73
888,852,100
896,860,100
1169,1066,100
1088,998,100
827,798,100
1072,953,89
1072,1030,89
1028,951,100
773,760,100
831,809,100
1066,998,96
1169,998,96
1088,1066,96
1169,1088,96
130,22,79
953,909,88
1030,909,88
1072,997,76
953,744,87
1030,744,87
953,746,87
1030,746,87
953,767,87
1030,767,87
953,784,87
1030,784,87
953,785,87
1030,785,87
953,789,87
1030,789,87
953,792,87
1030,792,87
953,794,87
1030,794,87
953,813,87
1030,813,87
953,814,87
1030,814,87
953,821,87
1030,821,87
953,835,87
1030,835,87
953,840,87
1030,840,87
953,847,87
1030,847,87
953,854,87
1030,854,87
953,873,87
1030,873,87
953,874,87
1030,874,87
953,881,87
1030,881,87
953,890,87
1030,890,87
953,921,87
1030,921,87
997,937,70
953,950,87
1030,950,87
958,953,87
972,953,87
975,953,87
977,953,87
989,953,87
995,953,87
1009,953,87
1008,953,87
1013,953,87
1022,953,87
1029,953,87
1035,953,87
1047,953,87
1050,953,87
1051,953,87
1071,953,87
1073,953,87
1079,953,87
1081,953,87
1082,953,87
1086,953,87
1089,953,87
1114,953,87
1118,953,87
1121,953,87
1129,953,87
1139,953,87
1136,953,87
1144,953,87
1143,953,87
1149,953,87
1147,953,87
1151,953,87
1160,953,87
1161,953,87
1164,953,87
1163,953,87
1170,953,87
