groupId,fileId,username,rank,subm_ts
0,399,stay_humble,396,1717298309.0
0,699,rajanand18,700,1717299076.0
0,766,_shivaay_,766,1717299297.0
0,834,swastik8750,837,1717299515.0
0,847,princeyadav3100,845,1717300128.0
0,900,DGukesh,899,1717298919.0
0,936,anamika9693,937,1717300196.0
0,1041,ayushkumarsingh3105,1041,1717299478.0
0,1112,MoHiT_SoNi_,1111,1717300234.0
1,131,spaul_12,130,1717297734.0
1,216,Tyrande,218,1717297562.0
1,636,HeroKillerEver,636,1717299738.0
1,680,aryaman_ranjit,679,1717299289.0
1,880,m1stborn,880,1717299300.0
1,975,Snape007,977,1717299878.0
1,1066,Vaga-bond,1065,1717300114.0
2,227,virajchandra51,227,1717296587.0
2,263,Gaming_123,265,1717298100.0
2,578,ansh_iet_22,573,1717298879.0
2,928,SainiAyush,929,1717299732.0
2,944,Fremder,945,1717299793.0
2,1203,3crasele,1203,1717300333.0
3,184,rounak_58,183,1717297707.0
3,506,Time-limit-exceed,507,1717298671.0
3,710,Sandhee777,710,1717299407.0
3,898,LemonDrop47,895,1717298751.0
3,901,__sebasti0n__,902,1717299970.0
3,995,l1consolable,996,1717300253.0
4,380,amangupta2152,380,1717296973.0
4,394,pandey__amit,393,1717298608.0
4,730,rits_rj,730,1717300065.0
4,776,Saber2k18,777,1717299919.0
4,1083,shivamSha_123,1086,1717300471.0
5,182,sukunamodeon,181,1717297702.0
5,358,bdyby011121,358,1717298769.0
5,469,georgopol101,471,1717298884.0
5,1010,sumitj3na,1012,1717300003.0
6,781,TS_2002,782,1717300230.0
6,878,Phagun,879,1717299899.0
6,1023,pyaemyat378,1025,1717300035.0
6,1143,shaswatgusain1,1144,1717300372.0
7,319,anubhavanu2004,320,1717298646.0
7,665,user3491Nu,663,1717299515.0
7,1046,SimpleSheep03,1046,1717299484.0
8,911,HEELO123,912,1717299695.0
8,912,ltcdeeoe,916,1717300000.0
8,1209,gunjan_124,1213,1717300695.0
9,606,DivyanshJain2003,607,1717299003.0
9,947,cpaliwal2483,947,1717299505.0
9,728,duyvt6663,727,1717299457.0
10,133,Mouceant,131,1717297738.0
10,282,ferferge,282,1717297554.0
10,719,learncode8888,720,1717300040.0
11,338,tushars_071,336,1717298700.0
11,530,yashkumar9158,529,1717299059.0
12,519,mailtoramchhabra,518,1717298404.0
12,596,yash23kr,596,1717298956.0
13,595,CheriBhai,595,1717298656.0
13,970,robertlewan1998,972,1717299863.0
14,363,j_choudhary,362,1717298782.0
14,597,prince9898,598,1717298958.0
15,210,Apple_juice,210,1717298128.0
15,1130,Archangel79,1130,1717300637.0
16,555,krishrb2517,555,1717298532.0
16,640,gavd87,640,1717298519.0
17,654,ContestHacker007,653,1717299788.0
17,1072,yuvrajcoder,1075,1717300155.0
18,873,atharvkhandelwal11,870,1717299888.0
18,1118,20240628.harshshukla14,1116,1717299978.0
