groupId,fileId,username,rank,subm_ts
0,303,m10s,303,1719070112.0
0,405,jaiswalshubham502,406,1719070426.0
0,390,modihemang57864,390,1719070105.0
0,511,kapilgarg236,513,1719070278.0
0,280,anshsaxena1703,279,1719070034.0
0,331,OMMxDr7Zti,331,1719069920.0
0,277,giri69,278,1719070027.0
0,349,Nutan_,349,1719070280.0
0,726,narne_srinadh,725,1719070794.0
0,1173,pranay4529,1173,1719071277.0
0,1224,Csudhanshu,1224,1719071445.0
0,282,Ananya5317826,282,1719070048.0
0,459,aviiii,457,1719070205.0
0,507,Shreya_Mathur19,507,1719070576.0
0,698,rishikesh32002,700,1719070718.0
0,383,gavnish_kumar,382,1719070389.0
0,264,punkcyber745,264,1719069979.0
0,543,Vani_24,545,1719070642.0
0,913,Rimmi052,910,1719071529.0
0,294,gkoncs,294,1719070085.0
0,328,arjun_reddy_10,327,1719070214.0
0,370,amar31661,371,1719070360.0
0,380,snehaaa_16_,379,1719070385.0
0,618,sushmit_h_a,619,1719070818.0
0,478,rishabh0218,478,1719070535.0
0,410,devendrakumar190404,407,1719070428.0
0,506,rushiiisb,506,1719070576.0
0,527,kodingcaro,527,1719070610.0
0,1161,coderankit27,1159,1719070508.0
0,559,diwakarsehgal,562,1719070669.0
0,552,meetgoti07,553,1719070653.0
0,310,yadav_0206,311,1719070148.0
0,373,ary-an,372,1719070067.0
0,551,mahin__7686,551,1719070348.0
0,431,FantasticoneSahil,431,1719070459.0
0,426,zenman003,423,1719070446.0
0,314,Vansh_S2003,315,1719070158.0
0,432,Visrut__,434,1719070461.0
0,1203,dekatuna,1206,1719070794.0
0,553,chirag45610,552,1719070649.0
0,407,Aloo_Bhaji,404,1719070424.0
0,535,atharva_ask,532,1719070624.0
0,612,DarkOp51,609,1719070488.0
0,489,suryasps20,491,1719070551.0
0,267,oshang,268,1719069998.0
0,297,somanasivateja1,295,1719070091.0
0,305,sakshi_pandey_,308,1719070138.0
0,311,abhishek_k11,312,1719070154.0
0,351,utpalanand5,354,1719070297.0
0,367,Ayush_Awasthi8266,369,1719070348.0
0,375,zaid5496,374,1719070368.0
0,393,Anjaykaushal,394,1719070409.0
0,394,AS-Avadhhut_Shedage,397,1719070413.0
0,399,nishank24,400,1719070417.0
0,418,kaushalanjay,421,1719070445.0
0,437,KanishkaMeena,439,1719070475.0
0,460,mnkodali,463,1719070212.0
0,477,StarAditya,476,1719070534.0
0,474,Rajat119,477,1719070534.0
0,547,rohit61181,549,1719070647.0
0,415,joyjitdas_7,416,1719070438.0
0,356,rajnsunny,356,1719070314.0
0,1027,heetgoyani245,1027,1719071520.0
0,1082,nikhil91_97,1083,1719071668.0
0,504,rk_02_04,505,1719070575.0
0,450,rohitmalik987789,448,1719070490.0
0,958,Believer2140,961,1719070777.0
0,368,Ronak9910,367,1719070341.0
0,515,dhruv_codes04,514,1719069979.0
0,468,21uec026,470,1719070226.0
0,570,NotFisrt,570,1719070688.0
0,289,Mahavir21,286,1719070053.0
0,446,shivamkumarsingh062004,447,1719070488.0
0,1101,saurabhsingh742003,1101,1719070852.0
0,412,Rahul_Phoolbhati,409,1719070130.0
0,760,Yousefsalem,761,1719070264.0
0,982,Naman_Sharma_,982,1719071731.0
0,528,shaiksuhana99,528,1719070314.0
0,1017,1461_prakhar,1016,1719071800.0
0,991,manojtyagi2656,991,1719071151.0
0,1209,JAS05,1209,1719071557.0
0,480,190031309_JAYAKRISHNA,479,1719070537.0
0,800,munavathnaveen,802,1719071270.0
0,501,codeknight2004,500,1719069969.0
0,571,shreshy_,572,1719070395.0
0,818,fiercfly,819,1719070410.0
1,249,rajcoder21,249,1719069903.0
1,257,Aritra_C1,257,1719069934.0
1,268,srirammarni99,269,1719070002.0
1,316,mixzncionud01997,313,1719070158.0
1,322,Spandan1809,322,1719070190.0
1,359,ishrita08,353,1719070292.0
1,369,Konsept,368,1719070342.0
1,389,avikalp71,387,1719070396.0
1,406,adeeb125,408,1719070128.0
1,408,Aviralshukla26,412,1719070433.0
1,421,Snehee12,424,1719070147.0
1,427,VAO2,426,1719070151.0
1,472,sam_1b,472,1719070228.0
1,475,karnwalaks,475,1719070533.0
1,520,coderworld76,519,1719070287.0
1,537,abhinav0603,539,1719070334.0
1,555,vikrxnt,558,1719070659.0
1,384,aryantripathi05,384,1719070092.0
1,401,FLOURISHINGDOLPHIN,401,1719070117.0
1,466,IEaLQjnrGw,468,1719069918.0
1,469,rishabhofficial31,469,1719069920.0
1,564,kedardeshmukh2003,561,1719070369.0
1,391,anshukawlecha,391,1719070106.0
1,492,Aditya_1238,492,1719070554.0
1,425,Divanshi_Jain,425,1719070448.0
2,350,curious_alok2509,350,1719070281.0
2,371,bludyfang,370,1719070350.0
2,429,rahulkottak,427,1719070154.0
2,442,Gaomer,443,1719070180.0
2,444,endxkartikey,445,1719070481.0
2,526,coding_cpp,526,1719070610.0
2,301,rajukar920,296,1719070096.0
2,315,tanishkumar15391709,316,1719070168.0
2,326,nikhil10july123,328,1719070217.0
2,342,Tokladbaa,343,1719070264.0
2,355,bdyby9871,357,1719070315.0
2,452,LIT2022010,452,1719070498.0
3,230,ayush-jha93,231,1719069836.0
3,242,kunaaljain,245,1719069877.0
3,330,ANJANI_VENGALA,334,1719070239.0
3,455,Tejpa,453,1719070142.0
3,566,MjsWXAUf5t,566,1719070674.0
3,283,Neha_Suresh,281,1719070038.0
3,348,srishtii27,348,1719070277.0
3,353,Ujjwal84099,351,1719069988.0
3,382,manjit-code,385,1719070392.0
3,512,kalpanahepzi_2k2,512,1719070578.0
3,604,SUSAJJIT_SINGH,604,1719070481.0
4,378,kush_1719,378,1719070384.0
4,502,shashankk04,501,1719070569.0
4,372,paras1301sharma,373,1719070368.0
4,341,vaidishthosar,340,1719070259.0
4,362,garud_4417k,363,1719070335.0
4,265,mdsahil37621,261,1719069959.0
4,558,skjsarthak,559,1719070360.0
5,150,A107,149,1719069099.0
5,184,uzair-obaid,184,1719069407.0
5,139,Godeepak12,139,1719069020.0
5,304,Mirza_Atif,304,1719070115.0
5,229,abd4u,227,1719069814.0
6,259,akshat757,259,1719069948.0
6,286,muskanbahlani2,289,1719070064.0
6,163,Abhijat05,162,1719068008.0
7,508,faiz_Ad_100,508,1719070576.0
7,509,Awes19,509,1719070577.0
7,388,sauhard_01,389,1719070399.0
8,209,202101184,208,1719069580.0
8,977,papaji310,975,1719071704.0
9,525,RYUGA2112,525,1719070309.0
9,1217,s-6,1216,1719071890.0
10,1048,kushaagr__11,1046,1719071883.0
10,1213,Alpha_Beta_gamma_123,1212,1719071135.0
11,293,lalithkishore128,293,1719070081.0
11,364,guardian01,361,1719070333.0
12,208,serialcomder,207,1719069267.0
12,710,Vedantmanalwar,710,1719070743.0
13,436,system-exit,436,1719070471.0
13,625,agBGlxxvQ8,626,1719070234.0
14,606,anirudhparida08,605,1719070182.0
14,970,Rojalin02,968,1719071086.0
15,481,anshul92,480,1719070241.0
15,603,Manaslc07,603,1719070778.0
16,27,sharmaaarushi,26,1719067791.0
16,34,teharia__aradhya,34,1719067930.0
17,347,Akash_019,345,1719070271.0
17,479,NitishBharat,483,1719070244.0
18,529,TahsinArafat,529,1719070616.0
18,665,Samriddhi1212,665,1719070642.0
19,205,notZoro,206,1719069550.0
19,482,lokendarsingh,482,1719070242.0
20,151,dilkhush04,150,1719068801.0
20,214,KUMAR_ROHAN,216,1719069660.0
21,940,MainFrameKuznetSov,940,1719071304.0
21,960,soumyapachal,959,1719071672.0
22,804,nikesh1124,804,1719071275.0
22,930,Nikesh8840,932,1719071576.0
23,886,Sahil_JJ,886,1719071164.0
23,966,Kumar_Vinay,965,1719070782.0
24,178,tabaahi07,176,1719069371.0
24,510,salilmotoe,510,1719070278.0
25,1003,AkshitMital,1004,1719071784.0
25,1205,arj05,1204,1719071980.0
26,193,21691A37002,199,1719068906.0
26,270,21691A37_20,273,1719069842.0
27,454,bhavyas_,458,1719070205.0
27,641,krunalpabari11_,642,1719070586.0
