groupId,fileId,username,rank,subm_ts
0,251,rajcoder21,249,1719069903.0
0,255,Aritra_C1,257,1719069934.0
0,269,srirammarni99,269,1719070002.0
0,313,mixzncionud01997,313,1719070158.0
0,321,Spandan1809,322,1719070190.0
0,356,ishrita08,353,1719070292.0
0,388,avikalp71,387,1719070396.0
0,406,adeeb125,408,1719070128.0
0,408,Aviralshukla26,412,1719070433.0
0,421,Snehee12,424,1719070147.0
0,429,VAO2,426,1719070151.0
0,469,sam_1b,472,1719070228.0
0,471,karnwalaks,475,1719070533.0
0,519,coderworld76,519,1719070287.0
0,539,abhinav0603,539,1719070334.0
0,556,vikrxnt,558,1719070659.0
0,369,Konsept,368,1719070342.0
0,492,Aditya_1238,492,1719070554.0
0,392,anshukawlecha,391,1719070106.0
0,386,aryantripathi05,384,1719070092.0
0,403,FLOURISHINGDOLPHIN,401,1719070117.0
0,467,IEaLQjnrGw,468,1719069918.0
0,468,rishabhofficial31,469,1719069920.0
0,565,kedardeshmukh2003,561,1719070369.0
0,427,Divanshi_Jain,425,1719070448.0
1,407,Aloo_Bhaji,404,1719070424.0
1,534,atharva_ask,532,1719070624.0
1,272,oshang,268,1719069998.0
1,296,somanasivateja1,295,1719070091.0
1,306,sakshi_pandey_,308,1719070138.0
1,309,abhishek_k11,312,1719070154.0
1,351,utpalanand5,354,1719070297.0
1,366,Ayush_Awasthi8266,369,1719070348.0
1,375,zaid5496,374,1719070368.0
1,391,Anjaykaushal,394,1719070409.0
1,394,AS-Avadhhut_Shedage,397,1719070413.0
1,396,nishank24,400,1719070417.0
1,418,kaushalanjay,421,1719070445.0
1,436,KanishkaMeena,439,1719070475.0
1,461,mnkodali,463,1719070212.0
1,472,21uec026,470,1719070226.0
1,476,StarAditya,476,1719070534.0
1,477,Rajat119,477,1719070534.0
1,491,suryasps20,491,1719070551.0
1,550,rohit61181,549,1719070647.0
1,609,DarkOp51,609,1719070488.0
1,449,shivamkumarsingh062004,447,1719070488.0
2,280,giri69,278,1719070027.0
2,349,Nutan_,349,1719070280.0
2,507,Shreya_Mathur19,507,1719070576.0
2,552,meetgoti07,553,1719070653.0
2,279,anshsaxena1703,279,1719070034.0
2,331,OMMxDr7Zti,331,1719069920.0
2,294,gkoncs,294,1719070085.0
2,315,Vansh_S2003,315,1719070158.0
2,415,joyjitdas_7,416,1719070438.0
2,384,gavnish_kumar,382,1719070389.0
2,729,narne_srinadh,725,1719070794.0
2,516,dhruv_codes04,514,1719069979.0
2,1177,pranay4529,1173,1719071277.0
3,297,rajukar920,296,1719070096.0
3,317,tanishkumar15391709,316,1719070168.0
3,325,nikhil10july123,328,1719070217.0
3,343,Tokladbaa,343,1719070264.0
3,354,bdyby9871,357,1719070315.0
3,350,curious_alok2509,350,1719070281.0
3,372,bludyfang,370,1719070350.0
3,426,rahulkottak,427,1719070154.0
3,443,Gaomer,443,1719070180.0
3,445,endxkartikey,445,1719070481.0
3,528,coding_cpp,526,1719070610.0
3,452,LIT2022010,452,1719070498.0
4,232,ayush-jha93,231,1719069836.0
4,242,kunaaljain,245,1719069877.0
4,332,ANJANI_VENGALA,334,1719070239.0
4,453,Tejpa,453,1719070142.0
4,566,MjsWXAUf5t,566,1719070674.0
4,281,Neha_Suresh,281,1719070038.0
5,348,srishtii27,348,1719070277.0
5,352,Ujjwal84099,351,1719069988.0
5,380,manjit-code,385,1719070392.0
5,513,kalpanahepzi_2k2,512,1719070578.0
6,265,punkcyber745,264,1719069979.0
6,544,Vani_24,545,1719070642.0
6,561,diwakarsehgal,562,1719070669.0
6,909,Rimmi052,910,1719071529.0
7,373,paras1301sharma,373,1719070368.0
7,379,kush_1719,378,1719070384.0
7,504,shashankk04,501,1719070569.0
8,283,Ananya5317826,282,1719070048.0
8,460,aviiii,457,1719070205.0
8,478,rishabh0218,478,1719070535.0
9,210,202101184,208,1719069580.0
9,973,papaji310,975,1719071704.0
10,149,A107,149,1719069099.0
10,184,uzair-obaid,184,1719069407.0
11,259,akshat757,259,1719069948.0
11,286,muskanbahlani2,289,1719070064.0
12,523,RYUGA2112,525,1719070309.0
12,1214,s-6,1216,1719071890.0
13,293,lalithkishore128,293,1719070081.0
13,362,guardian01,361,1719070333.0
14,304,m10s,303,1719070112.0
14,405,jaiswalshubham502,406,1719070426.0
15,346,Akash_019,345,1719070271.0
15,480,NitishBharat,483,1719070244.0
16,327,arjun_reddy_10,327,1719070214.0
16,370,amar31661,371,1719070360.0
17,390,modihemang57864,390,1719070105.0
17,510,kapilgarg236,513,1719070278.0
18,150,dilkhush04,150,1719068801.0
18,218,KUMAR_ROHAN,216,1719069660.0
19,204,notZoro,206,1719069550.0
19,483,lokendarsingh,482,1719070242.0
20,154,vishalp65,155,1719069123.0
20,201,user0290vr,201,1719069512.0
21,942,MainFrameKuznetSov,940,1719071304.0
21,959,soumyapachal,959,1719071672.0
22,199,21691A37002,199,1719068906.0
22,267,21691A37_20,273,1719069842.0
23,1002,AkshitMital,1004,1719071784.0
23,1202,arj05,1204,1719071980.0
24,455,bhavyas_,458,1719070205.0
24,640,krunalpabari11_,642,1719070586.0
