fileId1,fileId2,similarity
792,646,76
957,717,100
854,792,71
792,565,73
967,871,71
871,717,82
995,792,70
957,871,82
871,560,87
967,782,70
582,560,82
967,147,71
871,522,82
871,768,74
781,582,82
967,276,78
967,734,71
622,605,100
719,605,100
719,622,100
647,560,83
967,736,73
967,11,72
489,386,100
577,386,100
616,386,100
715,386,100
712,386,100
882,386,100
899,386,100
577,489,100
616,489,100
715,489,100
712,489,100
882,489,100
899,489,100
616,577,100
715,577,100
712,577,100
882,577,100
899,577,100
715,616,100
712,616,100
882,616,100
899,616,100
712,715,100
882,715,100
899,715,100
882,712,100
899,712,100
899,882,100
967,606,73
1010,386,96
1010,489,96
967,558,74
1010,577,96
1010,616,96
1010,715,96
1010,712,96
1010,882,96
1010,899,96
967,57,73
717,560,74
957,560,74
967,842,71
494,386,98
494,489,98
577,494,98
616,494,98
715,494,98
712,494,98
882,494,98
899,494,98
967,25,74
967,243,74
967,242,70
967,440,71
498,494,98
589,563,100
633,563,100
716,563,100
780,563,100
938,563,100
981,563,100
633,589,100
716,589,100
780,589,100
938,589,100
981,589,100
716,633,100
780,633,100
938,633,100
981,633,100
780,716,100
938,716,100
981,716,100
938,780,100
981,780,100
981,938,100
498,386,97
498,489,97
577,498,97
616,498,97
715,498,97
712,498,97
882,498,97
899,498,97
781,563,97
781,589,97
781,633,97
781,716,97
781,780,97
938,781,97
981,781,97
582,498,78
1010,494,94
965,722,100
967,945,71
1010,727,94
582,563,78
589,582,78
633,582,78
716,582,78
780,582,78
938,582,78
981,582,78
1010,498,94
967,557,71
840,347,78
518,404,71
582,494,77
727,498,97
727,708,97
727,582,77
1010,540,93
781,727,95
959,771,99
727,540,97
727,494,96
727,386,95
727,489,95
727,563,96
727,577,95
727,589,96
727,616,95
727,633,96
727,715,95
727,712,95
727,716,96
780,727,96
882,727,95
899,727,95
931,727,97
938,727,96
981,727,96
781,540,94
931,540,97
931,563,97
931,589,97
931,633,97
727,697,96
1010,708,92
931,716,97
959,727,97
931,780,97
938,931,97
981,931,97
1010,781,90
563,540,96
589,540,96
633,540,96
716,540,96
780,540,96
938,540,96
981,540,96
931,781,94
1010,563,92
1010,589,92
1010,633,92
1010,716,92
767,757,77
1010,780,92
1010,931,92
1010,938,92
1010,981,92
708,498,94
959,498,96
959,697,96
1010,959,92
582,540,75
762,563,95
708,582,75
959,582,76
762,589,95
762,633,95
762,716,95
780,762,95
938,762,95
981,762,95
722,582,76
965,582,76
1010,582,73
771,697,97
1010,697,91
697,386,94
697,489,94
781,498,92
582,566,76
697,577,94
697,616,94
715,697,94
712,697,94
882,697,94
899,697,94
781,708,92
771,722,97
959,722,96
781,762,93
965,771,97
965,959,96
727,566,96
931,582,75
931,282,95
582,386,74
582,489,74
540,498,94
697,540,95
708,540,94
781,566,93
582,577,74
616,582,74
715,582,74
712,582,74
882,582,74
899,582,74
781,647,79
540,386,93
540,489,93
708,494,93
959,494,94
577,540,93
616,540,93
715,540,93
712,540,93
882,540,93
899,540,93
697,566,96
959,708,94
708,386,92
959,386,93
708,489,92
959,489,93
563,498,94
589,498,94
633,498,94
716,498,94
780,498,94
931,498,94
938,498,94
981,498,94
915,518,73
647,563,80
708,563,93
708,577,92
959,577,93
697,582,75
647,589,80
708,589,93
708,616,92
959,616,93
647,633,80
708,633,93
716,647,80
780,647,80
938,647,80
981,647,80
708,697,94
715,708,92
712,708,92
716,708,93
780,708,93
882,708,92
899,708,92
931,708,94
938,708,93
981,708,93
959,715,93
959,712,93
959,882,93
959,899,93
997,967,70
697,498,94
781,560,86
959,566,96
762,582,74
781,494,91
566,563,95
589,566,95
633,566,95
716,566,95
722,566,95
780,566,95
931,566,95
938,566,95
965,566,95
981,566,95
722,697,94
965,697,94
931,762,94
1010,560,84
828,714,100
889,714,100
909,714,100
889,828,100
909,828,100
909,889,100
540,494,93
727,560,87
781,697,91
824,714,99
771,727,95
959,781,92
828,824,99
889,824,99
909,824,99
781,386,90
781,489,90
563,560,87
589,560,87
633,560,87
716,560,87
780,560,87
931,560,88
938,560,87
981,560,87
781,577,90
781,616,90
781,715,90
781,712,90
1010,762,89
882,781,90
899,781,90
563,494,93
589,494,93
633,494,93
716,494,93
780,494,93
931,494,93
938,494,93
981,494,93
959,540,94
727,282,93
563,386,92
589,386,92
633,386,92
716,386,92
780,386,92
931,386,92
938,386,92
981,386,92
563,489,92
589,489,92
633,489,92
716,489,92
780,489,92
931,489,92
938,489,92
981,489,92
697,494,93
560,540,87
577,563,92
616,563,92
715,563,92
712,563,92
882,563,92
899,563,92
708,566,93
589,577,92
633,577,92
716,577,92
780,577,92
931,577,92
938,577,92
981,577,92
616,589,92
715,589,92
712,589,92
882,589,92
899,589,92
633,616,92
716,616,92
780,616,92
931,616,92
938,616,92
981,616,92
715,633,92
712,633,92
882,633,92
899,633,92
716,715,92
780,715,92
931,715,92
938,715,92
981,715,92
716,712,92
780,712,92
931,712,92
938,712,92
981,712,92
882,716,92
899,716,92
781,722,91
882,780,92
899,780,92
965,781,91
931,882,92
938,882,92
981,882,92
931,899,92
938,899,92
981,899,92
563,282,93
589,282,93
633,282,93
716,282,93
780,282,93
938,282,93
981,282,93
771,498,94
697,563,93
959,563,93
771,582,74
697,589,93
959,589,93
697,633,93
959,633,93
716,697,93
780,697,93
931,697,93
938,697,93
981,697,93
762,708,92
959,716,93
959,780,93
959,931,94
959,938,93
981,959,93
566,498,93
771,566,95
540,282,93
781,282,90
647,540,78
566,282,93
697,282,93
582,287,73
560,522,80
722,563,93
965,563,93
1010,566,89
722,589,93
965,589,93
722,633,93
965,633,93
722,716,93
965,716,93
727,722,93
780,722,93
938,722,93
981,722,93
762,727,92
965,727,93
965,780,93
965,938,93
981,965,93
566,540,93
708,560,85
959,282,92
771,386,92
771,489,92
771,577,92
771,616,92
771,715,92
771,712,92
882,771,92
899,771,92
771,494,92
762,540,92
566,494,92
722,498,91
965,498,91
717,566,72
762,566,92
957,566,72
727,647,78
1010,647,75
771,708,92
582,282,72
566,386,91
566,489,91
560,498,85
577,566,91
616,566,91
715,566,91
712,566,91
882,566,91
899,566,91
931,647,78
1010,680,89
871,714,75
1010,771,89
871,824,75
871,828,75
889,871,75
909,871,75
708,282,90
1010,282,88
717,540,71
957,540,71
714,563,94
828,563,94
889,563,94
909,563,94
714,589,94
828,589,94
889,589,94
909,589,94
714,633,94
828,633,94
889,633,94
909,633,94
716,714,94
780,714,94
938,714,94
981,714,94
828,716,94
889,716,94
909,716,94
781,717,70
828,780,94
889,780,94
909,780,94
957,781,70
938,828,94
981,828,94
938,889,94
981,889,94
938,909,94
981,909,94
560,494,85
824,563,94
824,589,94
824,633,94
824,716,94
824,780,94
938,824,94
981,824,94
498,282,90
928,582,71
1010,605,85
1010,622,85
781,714,91
1010,719,85
781,771,90
828,781,91
889,781,91
909,781,91
697,287,91
722,386,90
965,386,90
722,489,90
965,489,90
771,540,92
722,577,90
965,577,90
722,616,90
965,616,90
722,715,90
965,715,90
722,712,90
965,712,90
882,722,90
899,722,90
824,781,91
931,871,73
965,882,90
965,899,90
762,282,90
771,282,92
722,287,91
965,287,91
560,386,84
560,489,84
722,494,90
965,494,90
577,560,84
616,560,84
715,560,84
712,560,84
882,560,84
899,560,84
717,563,71
776,563,92
957,563,71
717,589,71
776,589,92
957,589,71
717,633,71
776,633,92
957,633,71
717,697,71
957,697,71
931,714,94
717,716,71
776,716,92
957,716,71
780,717,71
931,717,71
938,717,71
981,717,71
780,776,92
938,776,92
981,776,92
957,780,71
931,824,93
931,828,94
931,889,94
931,909,94
957,931,71
957,938,71
981,957,71
771,287,91
928,498,88
762,647,77
722,708,90
965,708,90
722,717,71
965,717,71
957,722,71
965,957,71
762,498,90
771,563,91
771,589,91
771,633,91
708,647,76
771,716,91
1010,722,87
780,771,91
931,771,92
938,771,91
981,771,91
1010,965,87
560,282,84
959,287,90
697,560,84
959,560,85
714,582,73
828,582,73
889,582,73
909,582,73
762,680,91
928,697,89
723,722,87
965,723,87
494,282,89
717,282,70
957,282,70
566,287,91
928,386,87
928,489,87
762,560,84
928,577,87
824,582,73
928,616,87
928,715,87
928,712,87
959,717,70
781,776,89
928,882,87
928,899,87
957,959,70
386,282,88
489,282,88
577,282,88
616,282,88
715,282,88
712,282,88
882,282,88
899,282,88
871,540,72
647,494,75
647,498,76
722,540,90
965,540,90
647,566,76
928,727,88
1010,776,87
722,282,90
965,282,90
928,494,87
871,563,72
871,589,72
871,633,72
871,716,72
727,717,70
957,727,70
871,780,72
938,871,72
981,871,72
762,494,88
723,566,86
771,717,70
957,771,70
762,386,88
762,489,88
762,577,88
762,616,88
762,714,91
762,715,88
762,712,88
931,722,90
828,762,91
882,762,88
889,762,91
899,762,88
909,762,91
871,781,70
965,931,90
840,368,79
647,386,74
647,489,74
776,566,91
647,577,74
647,616,74
715,647,74
712,647,74
882,647,74
899,647,74
708,680,89
762,697,89
871,727,71
824,762,91
959,762,89
605,386,85
622,386,85
719,386,85
605,489,85
622,489,85
719,489,85
647,522,70
566,560,84
714,566,92
828,566,92
889,566,92
909,566,92
605,577,85
622,577,85
719,577,85
616,605,85
715,605,85
712,605,85
882,605,85
899,605,85
622,616,85
719,616,85
715,622,85
712,622,85
882,622,85
899,622,85
719,715,85
719,712,85
882,719,85
899,719,85
871,282,71
776,386,88
776,489,88
776,577,88
776,616,88
776,697,90
776,715,88
776,712,88
771,723,86
781,723,83
959,723,85
882,776,88
899,776,88
824,566,92
871,680,72
727,714,91
762,722,88
776,727,89
824,727,91
828,727,91
889,727,91
909,727,91
965,762,88
959,928,87
714,540,91
824,540,91
828,540,91
889,540,91
909,540,91
697,647,75
959,647,75
928,771,88
931,776,89
714,282,90
824,282,90
828,282,90
889,282,90
909,282,90
776,582,70
727,680,89
776,722,89
965,776,89
1010,928,83
647,282,74
776,540,89
680,563,89
723,563,84
680,589,89
723,589,84
680,633,89
723,633,84
714,680,91
716,680,89
780,680,89
824,680,91
828,680,91
889,680,91
909,680,91
931,680,89
938,680,89
981,680,89
723,716,84
780,723,84
938,723,84
981,723,84
959,776,89
776,494,88
714,647,76
722,647,74
828,647,76
889,647,76
909,647,76
965,647,74
1010,714,86
1010,824,86
1010,828,86
1010,889,86
1010,909,86
776,282,88
680,386,87
680,489,87
680,540,88
771,560,83
680,577,87
680,616,87
824,647,76
715,680,87
712,680,87
882,680,87
899,680,87
928,708,85
287,282,87
871,566,70
781,680,86
871,762,70
727,287,87
776,498,87
928,540,85
928,566,86
928,722,86
931,723,84
928,781,83
965,928,86
697,605,85
697,622,85
719,697,85
723,697,83
776,771,89
680,494,87
714,708,88
776,708,87
824,708,88
828,708,88
889,708,88
909,708,88
776,762,87
723,282,83
723,540,83
498,287,85
714,498,88
824,498,88
828,498,88
889,498,88
909,498,88
722,560,81
965,560,81
928,563,85
928,589,85
928,633,85
928,716,85
771,762,87
928,780,85
931,928,85
938,928,85
981,928,85
540,287,86
776,647,74
680,282,87
680,498,86
680,560,81
708,605,83
708,622,83
719,708,83
386,287,84
489,287,84
577,287,84
616,287,84
715,287,84
712,287,84
781,287,83
882,287,84
899,287,84
776,560,81
727,723,82
762,723,82
776,744,89
605,540,83
622,540,83
719,540,83
714,560,82
824,560,82
828,560,82
889,560,82
909,560,82
771,647,73
723,287,82
928,282,84
494,287,84
714,494,87
824,494,87
828,494,87
889,494,87
909,494,87
714,697,88
824,697,88
828,697,88
889,697,88
909,697,88
959,714,88
959,824,88
959,828,88
959,889,88
959,909,88
840,183,75
563,287,85
589,287,85
633,287,85
708,287,84
716,287,85
780,287,85
938,287,85
981,287,85
714,386,86
824,386,86
828,386,86
889,386,86
909,386,86
714,489,86
824,489,86
828,489,86
889,489,86
909,489,86
605,494,82
622,494,82
719,494,82
723,498,81
714,577,86
824,577,86
828,577,86
889,577,86
909,577,86
727,605,82
714,616,86
824,616,86
828,616,86
889,616,86
909,616,86
727,622,82
715,714,86
712,714,86
882,714,86
899,714,86
824,715,86
828,715,86
889,715,86
909,715,86
824,712,86
828,712,86
889,712,86
909,712,86
727,719,82
882,824,86
899,824,86
882,828,86
899,828,86
889,882,86
909,882,86
899,889,86
909,899,86
1010,287,81
697,680,86
959,680,86
722,714,87
965,714,87
828,722,87
889,722,87
909,722,87
1010,723,78
965,828,87
965,889,87
965,909,87
931,287,84
824,722,87
965,824,87
605,498,82
622,498,82
719,498,82
762,531,88
680,647,72
928,287,82
723,386,79
723,489,79
723,577,79
723,616,79
723,715,79
723,712,79
882,723,79
899,723,79
723,494,80
931,531,88
928,560,77
739,582,70
959,605,82
959,622,82
723,708,80
959,719,82
563,531,87
589,531,87
633,531,87
714,531,90
716,531,87
780,531,87
824,531,90
828,531,90
889,531,90
909,531,90
938,531,87
981,531,87
762,605,81
781,605,79
762,622,81
781,622,79
762,719,81
781,719,79
776,723,81
776,287,84
781,531,85
605,563,81
622,563,81
719,563,81
680,566,85
605,589,81
622,589,81
719,589,81
633,605,81
716,605,81
780,605,81
938,605,81
981,605,81
633,622,81
716,622,81
780,622,81
938,622,81
981,622,81
719,633,81
719,716,81
780,719,81
938,719,81
981,719,81
840,220,76
680,531,88
605,566,81
622,566,81
719,566,81
776,680,85
776,714,86
828,776,86
889,776,86
909,776,86
647,287,70
722,605,81
965,605,81
722,622,81
965,622,81
733,697,84
722,719,81
965,719,81
776,733,85
771,605,81
771,622,81
723,714,81
771,714,86
771,719,81
828,723,81
889,723,81
909,723,81
928,762,81
824,771,86
828,771,86
889,771,86
909,771,86
824,776,86
727,531,86
824,723,81
708,531,85
771,680,84
531,282,86
560,287,76
733,566,84
680,605,81
931,605,80
680,622,81
931,622,80
719,680,81
931,719,80
540,531,85
1010,531,81
762,287,81
588,518,73
723,560,73
739,563,87
739,589,87
776,605,80
776,622,80
739,633,87
739,716,87
776,719,80
780,739,87
938,739,87
981,739,87
928,776,81
605,287,79
622,287,79
719,287,79
771,733,83
931,522,75
566,531,85
781,739,84
680,522,75
714,522,77
824,522,76
828,522,77
889,522,77
909,522,77
722,680,82
965,680,82
959,733,82
771,744,84
959,744,84
898,840,73
605,560,73
622,560,73
719,560,73
928,723,76
934,854,72
733,727,81
1010,739,82
739,697,86
739,722,86
931,733,82
965,739,86
531,498,83
1010,522,71
605,282,78
622,282,78
719,282,78
733,722,81
965,733,81
959,739,86
733,282,81
733,498,80
739,540,85
739,727,85
771,739,86
767,380,74
520,518,71
540,522,73
931,739,85
522,282,73
739,498,84
928,733,79
733,386,79
733,489,79
560,531,77
733,577,79
723,605,74
733,616,79
723,622,74
733,715,79
733,712,79
723,719,74
882,733,79
899,733,79
531,494,82
727,522,73
697,531,83
959,531,83
744,733,82
531,386,81
739,386,83
531,489,81
739,489,83
563,522,73
589,522,73
633,522,73
716,522,73
780,522,73
938,522,73
981,522,73
577,531,81
616,531,81
715,531,81
712,531,81
882,531,81
899,531,81
733,540,80
739,566,85
739,577,83
739,616,83
739,715,83
739,712,83
744,722,81
882,739,83
899,739,83
965,744,81
733,494,79
708,522,72
744,697,81
739,282,84
928,605,75
928,622,75
733,708,79
928,719,75
781,733,77
739,494,83
982,518,71
781,522,70
714,287,80
824,287,80
828,287,80
889,287,80
909,287,80
928,680,77
928,714,79
739,723,79
928,824,79
928,828,79
928,889,79
928,909,79
522,386,71
522,489,71
577,522,71
616,522,71
715,522,71
712,522,71
882,522,71
899,522,71
733,563,79
733,589,79
733,633,79
733,716,79
780,733,79
938,733,79
981,733,79
733,287,78
739,287,83
767,337,72
744,498,79
739,708,82
776,739,84
865,776,83
522,494,71
522,498,71
566,522,72
1010,733,75
762,739,82
744,282,79
744,727,79
697,522,71
959,522,71
744,563,79
744,589,79
744,633,79
