fileId1,fileId2,similarity
1147,1015,92.76139410187668
477,387,95.96541786743515
539,477,95.95375722543352
477,250,95.38904899135446
477,319,95.37572254335261
665,477,95.37572254335261
804,477,95.10086455331412
1046,477,95.37572254335261
839,789,95.07246376811594
477,380,97.61194029850746
477,394,97.61194029850746
730,477,97.61194029850746
776,477,97.61194029850746
839,477,92.89772727272727
1083,477,97.61194029850746
477,433,94.76744186046511
789,631,97.02380952380952
567,477,97.01492537313433
631,477,94.75218658892129
1211,477,93.39080459770115
477,28,93.0835734870317
477,57,94.16909620991254
477,148,92.81609195402298
477,338,93.35260115606935
519,477,93.6231884057971
530,477,93.35260115606935
546,477,92.28571428571428
596,477,93.6231884057971
759,477,96.13095238095238
477,68,94.42815249266863
477,202,93.33333333333333
595,477,93.6046511627907
704,477,93.33333333333333
970,477,93.6046511627907
477,108,95.25222551928783
927,789,93.04347826086956
477,131,95.7957957957958
477,206,95.7957957957958
477,216,95.7957957957958
477,227,95.50898203592814
477,263,95.50898203592814
477,291,94.65875370919882
578,477,95.50898203592814
606,477,94.37869822485207
636,477,95.7957957957958
680,477,95.7957957957958
728,477,94.37869822485207
880,477,95.7957957957958
928,477,95.50898203592814
944,477,95.50898203592814
947,477,94.10029498525073
975,477,95.7957957957958
1066,477,95.7957957957958
1203,477,95.50898203592814
927,546,98.14814814814815
994,724,98.45201238390094
559,477,94.34523809523809
557,477,94.91017964071857
754,477,94.91017964071857
358,182,100.0
469,182,100.0
1010,182,100.0
469,358,100.0
1010,358,100.0
1010,469,100.0
1136,546,97.53086419753086
477,209,94.311377245509
665,319,100.0
1046,319,100.0
530,338,100.0
1046,665,100.0
804,250,99.0506329113924
724,432,96.90402476780186
608,605,99.68152866242038
338,148,98.73417721518987
530,148,98.73417721518987
651,182,98.73417721518987
546,338,98.11320754716981
1136,338,97.5
724,353,96.29629629629629
651,358,98.73417721518987
651,469,98.73417721518987
596,519,100.0
546,530,98.11320754716981
1136,530,97.5
1010,651,98.73417721518987
1136,927,95.70552147239265
804,387,98.41772151898735
704,519,99.67948717948718
704,596,99.67948717948718
1213,724,96.58385093167702
546,148,96.875
1136,148,96.27329192546584
387,250,98.10126582278481
970,595,100.0
724,605,95.67901234567901
724,608,95.37037037037037
1211,804,97.47634069400631
250,28,97.46835443037975
519,148,97.77777777777777
596,148,97.77777777777777
1211,148,96.85534591194968
605,182,97.77777777777777
1211,250,97.16088328075709
539,319,98.08917197452229
519,338,98.40255591054313
596,338,98.40255591054313
927,338,96.25
1211,338,97.46835443037975
605,353,98.08917197452229
605,358,97.77777777777777
605,469,97.77777777777777
530,519,98.40255591054313
546,519,97.16088328075709
1136,519,96.55172413793103
1211,519,97.77777777777777
596,530,98.40255591054313
927,530,96.25
1211,530,97.46835443037975
665,539,98.08917197452229
1046,539,98.08917197452229
596,546,97.16088328075709
1211,546,96.25
1136,596,96.55172413793103
1211,596,97.77777777777777
1010,605,97.77777777777777
839,631,97.16088328075709
804,704,98.08917197452229
1211,1136,95.65217391304348
