filename,created_at,subm_ts
submissions/0____ethanrao.cpp,2024-06-08 10:40:21 -0400,1717857621
submissions/1____kaq.cpp,2024-06-08 10:42:14 -0400,1717857734
submissions/2____KR_HayoungSong.cpp,2024-06-08 10:49:56 -0400,1717858196
submissions/3____txingml.cpp,2024-06-08 10:49:54 -0400,1717858194
submissions/4____kmjp.cpp,2024-06-08 10:49:30 -0400,1717858170
submissions/5____XAXAEBATb.cpp,2024-06-08 10:51:12 -0400,1717858272
submissions/6____shadow923.cpp,2024-06-08 10:51:52 -0400,1717858312
submissions/7____lihaicoder.py,2024-06-08 10:53:13 -0400,1717858393
submissions/8____vonrong.py,2024-06-08 10:53:58 -0400,1717858438
submissions/9____Andrew-Angrew.py,2024-06-08 10:55:35 -0400,1717858535
submissions/10____kumarapoorv617.cpp,2024-06-08 10:50:39 -0400,1717858239
submissions/11____zanj0.cpp,2024-06-08 10:49:43 -0400,1717858183
submissions/12____mhasan01.cpp,2024-06-08 10:56:09 -0400,1717858569
submissions/13____prajwal_733.cpp,2024-06-08 10:56:52 -0400,1717858612
submissions/14____nafnil.java,2024-06-08 10:58:21 -0400,1717858701
submissions/15____medmdg.cpp,2024-06-08 10:58:40 -0400,1717858720
submissions/16____chuan-chih.py,2024-06-08 10:58:47 -0400,1717858727
submissions/17____Kude.cpp,2024-06-08 10:49:06 -0400,1717858146
submissions/18____stupidRR.cpp,2024-06-08 10:59:20 -0400,1717858760
submissions/19____profchi.java,2024-06-08 10:59:39 -0400,1717858779
submissions/20____sky1429.py,2024-06-08 10:59:01 -0400,1717858741
submissions/21____cchao.cpp,2024-06-08 11:00:35 -0400,1717858835
submissions/22____VILLANOVA_ECON.py,2024-06-08 10:55:42 -0400,1717858542
submissions/23____AshutoshSingh10.cpp,2024-06-08 10:56:11 -0400,1717858571
submissions/24____yatin_kwatra.cpp,2024-06-08 10:56:34 -0400,1717858594
submissions/25____wjli.cpp,2024-06-08 11:03:05 -0400,1717858985
submissions/26____martin0327.cpp,2024-06-08 11:03:37 -0400,1717859017
submissions/27____vassu118.cpp,2024-06-08 10:53:45 -0400,1717858425
submissions/28____JorisPerrenet.py,2024-06-08 10:58:57 -0400,1717858737
submissions/29____Ammar1510.cpp,2024-06-08 10:59:34 -0400,1717858774
