fileId,username,rank,submit_ts,subm_id
3,Three_Wayne,0,1717296128,1274691383
0,Ma_Lin,1,1717296316,1274698704
1,sisyphus3,2,1717295955,1274684936
2,uwi,3,1717296050,1274688195
4,kumarapoorv617,4,1717296034,1274687593
5,megurine,5,1717296123,1274691215
6,kmjp,6,1717296373,1274701111
7,danielchandg,7,1717296098,1274690081
8,sheepforever,8,1717296470,1274705120
13,biharicoder,9,1717295892,1274683672
10,waakaaka,10,1717295948,1274684734
9,stupidRR,11,1717295981,1274685689
11,fmota,12,1717295970,1274685356
12,IceKnight1093,13,1717296503,1274706506
15,PurpleCrayon,14,1717296228,1274695547
14,urimaj,15,1717296535,1274707806
16,arignote,16,1717296244,1274696200
18,nevergiveup,17,1717296546,1274708236
17,OTTFF,18,1717296271,1274697225
20,DylanSmith,19,1717296145,1274692140
19,Homie_Lander7,20,1717296360,1274700558
22,mhasan01,21,1717296480,1274705560
21,d_ananta_,22,1717296651,1274712403
25,teacher-six,23,1717296678,1274713461
23,envyaims,24,1717296028,1274687343
24,U_U,25,1717296692,1274714001
29,KR_HayoungSong,26,1717296414,1274702854
26,Turkhuu,27,1717296751,1274716314
27,vonrong,28,1717296138,1274691811
31,KyouMoKawaii,29,1717296490,1274705955
28,ritik_369,30,1717296121,1274691109
30,friedall,31,1717296499,1274706328
32,itzRaghav,32,1717296813,1274718870
33,Yawn_Sean,33,1717296162,1274692820
34,Wibo,34,1717296844,1274720329
35,qdd1999,35,1717296099,1274690122
36,sumon_1212,36,1717296907,1274722882
38,sykobeli,37,1717296922,1274723448
37,sammochen,38,1717296450,1274704321
39,MKLOL,39,1717296473,1274705274
40,JeffreyLC,40,1717296978,1274725774
43,STARs_56789,41,1717296985,1274726057
42,_priyanshu_101_,42,1717295934,1274684437
41,Abhi_Srivastava,43,1717296054,1274688365
44,jojayoh,44,1717297092,1274730224
45,hazzler,45,1717297097,1274730386
49,Superultra,46,1717296089,1274689714
47,funsquared,47,1717297120,1274731273
48,jwseph,48,1717296304,1274698229
46,jacobj2,49,1717296165,1274692946
52,123454321,50,1717296831,1274719722
53,dhru2602,51,1717296852,1274720642
50,penguinzzz,52,1717296861,1274721007
51,dream_boy,53,1717297170,1274733196
55,qqwrv,54,1717296871,1274721422
57,yolo12345,55,1717297191,1274733961
54,bobxiong88,56,1717296910,1274723002
56,Kareem_Elgoker,57,1717297211,1274734679
58,Sandeep_P,58,1717296612,1274710895
64,Manan04,59,1717297216,1274734889
60,i_am_coderrrrr,60,1717296926,1274723592
59,deepli,61,1717297264,1274736171
61,Romy67,62,1717297266,1274736234
63,user9218i,63,1717296968,1274725356
65,duncanimtheho,64,1717297216,1274734872
62,Airths,65,1717297277,1274736612
67,priyanshu_p28,66,1717296236,1274695877
69,gonglinyuan,67,1717297286,1274736927
68,LEetcode_ruler,68,1717297288,1274737016
66,aditya712001,69,1717297295,1274737259
70,ashwanthkannan,70,1717296095,1274689946
