groupId,fileId,username,rank
0,8,sheepforever,9
0,318,anupam_ghosh,321
0,3,penguinhacker,1
0,299,HackedAgain,300
0,254,louisfghbvc,254
0,717,forasssk,718
0,921,nirav114,922
0,59,newhar,57
0,176,Sambhav-Jain,177
0,760,divyansh956,760
0,153,ashif62224,154
0,800,gsaivishal,800
0,49,nolv-v,53
0,593,tr1nity,595
0,139,meet05,138
0,18,OTTFF,15
1,393,upperknoot,391
1,958,parasguglani,957
1,2,numb3r5,2
1,1162,AbhiCodes_1029,1163
1,540,stupidRR,541
1,338,Ashwini_Tiwari,336
1,930,Ashutosh_V,929
1,378,lakh,381
1,100,Akatsuki_,97
1,884,SamChen856,884
1,339,mohit__009,340
2,70,Oshen,71
2,979,RockyCYG,981
2,496,zhangsz1998,500
2,1084,chgliu,1087
2,200,Qlyer,204
2,97,kizk,98
2,152,u77,153
3,484,larisyang,483
3,738,agitated-albattanil1g,738
3,380,leetcoder_bro,382
3,525,jk_s,527
3,154,pankaj_777,156
3,470,xiao-lan-td,469
4,160,el_magnito,159
4,396,bbhavik_16,399
4,158,JeffreyLC,162
4,114,defier,115
5,1121,ciphercraft,1119
5,1218,P_Manav,1219
5,1126,coder1417,1124
6,654,pepe54,655
6,703,gaurav_ghidode,704
6,360,raghu30,361
7,1079,k_op_18,1081
7,1157,Krishna_xo18,1156
8,214,rudrakshjadhav,213
8,1134,tyagikumkum1200121,1136
9,919,AdityaGarg83,921
9,1071,Pulkit95700,1071
10,963,Invincible1212,961
10,1057,KomalPal,1059
11,816,Ankit3020,815
11,952,tushargupta_1206,954
12,991,amitkumar2003,989
12,1095,rishabhraj5421,1099
13,1129,ekalavya_pc,1130
13,1137,lalit2001,1137
14,308,rohitsatpute480,309
14,417,satputerohit00,419
15,678,batman992,678
15,747,aniketrajput25,748
16,229,RealFan,230
16,955,pranjal_trvd,955
17,911,pg_2,916
17,978,harshgkb,982
18,128,aman_2005,128
18,135,SSYernar,134
19,22,some_idiot,22
19,290,jackieckc,290
20,531,eether,535
20,1062,sujal_prakash15,1062
