fileId1,fileId2,similarity
1639,1214,91
1214,869,81
1639,869,77
2212,2071,88
2071,2001,77
2212,2001,84
2279,2178,94
2357,2314,92
2212,1761,95
2314,2212,94
1589,1387,97
2071,1761,85
2001,1761,82
2314,2001,80
2314,2071,83
2314,1387,92
2357,1387,90
2314,1761,91
2002,1761,86
2071,2002,78
2314,1589,90
2357,1589,88
2001,2002,74
2150,2002,79
2357,2212,86
2212,2002,83
2314,2002,82
2357,2071,78
2212,1729,90
2357,2001,75
2212,2178,87
1729,1589,91
2071,1729,81
2279,2212,86
2178,2001,75
2357,1761,84
2178,2071,78
2279,2071,77
1729,1387,89
2279,2001,74
1761,1729,88
2314,2178,84
2212,1387,86
2071,1589,78
2212,1589,86
2001,1729,76
2314,2279,83
2178,1761,84
2357,2002,78
2001,1387,74
2314,1729,85
2071,1387,77
2001,1932,74
1932,1761,85
2212,1932,85
2357,1729,83
1761,1387,84
1761,1589,84
2001,1589,73
2279,1761,82
2071,1932,76
2002,1387,79
2432,1932,88
2178,1387,82
2357,2178,79
2002,1589,78
2178,2002,76
2357,2279,78
2002,1729,78
2314,1932,81
2178,1589,81
2279,2002,75
2279,1387,79
2178,1729,81
2279,1729,80
2432,1729,85
2279,1589,79
2178,1932,78
2002,1932,74
2279,1932,77
2432,1589,80
2212,2150,71
2314,2150,70
2432,2071,71
2357,1932,74
1453,1361,85
1932,1729,78
2432,2212,78
2432,1387,78
2150,1761,70
1049,823,95
2460,2279,73
2460,2178,73
2432,2178,76
1932,1387,74
1932,1589,74
2432,1761,74
2432,2279,73
1558,823,83
2432,2314,72
2432,2357,71
2279,2239,76
1558,1049,83
2239,2178,73
1499,783,73
2378,1317,96
2239,1387,72
1948,870,100
2312,1740,70
2239,1729,70
2312,1752,75
2432,2239,70
2312,1901,76
2162,44,71
2426,1822,71
2312,2022,75
2340,2312,75
1752,1740,81
817,44,74
2312,322,73
2312,1182,73
2312,1644,73
2022,1752,94
2340,1752,94
2312,1785,73
2312,1886,73
2312,2040,73
1862,1822,73
2335,2312,72
849,783,70
1752,322,92
2211,817,74
1752,1182,92
1752,1644,92
1785,1752,92
1886,1752,92
2040,1752,92
2340,2022,100
1901,1740,81
2457,1822,71
1182,322,100
1644,322,100
1740,322,83
1785,322,100
1886,322,100
2040,322,100
1644,1182,100
1740,1182,83
1785,1182,100
1886,1182,100
2040,1182,100
1740,1644,83
1785,1644,100
1886,1644,100
2040,1644,100
1785,1740,83
1886,1740,83
2040,1740,83
2335,1752,90
1886,1785,100
2040,1785,100
2040,1886,100
2022,322,98
2335,322,97
2340,322,98
2022,1182,98
2335,1182,97
2340,1182,98
2022,1644,98
2335,1644,97
2340,1644,98
2022,1740,81
2335,1740,81
2340,1740,81
2022,1785,98
2335,1785,97
2340,1785,98
2022,1886,98
2335,1886,97
2340,1886,98
2040,2022,98
2335,2040,97
2340,2040,98
2335,2022,95
2340,2335,95
2117,418,84
2360,1297,71
2227,1666,97
2457,2426,78
2131,1666,75
1901,1752,84
1901,322,90
1901,1182,90
1901,1644,90
1901,1785,90
1901,1886,90
2040,1901,90
2335,1901,89
2227,1810,94
2022,1901,89
2340,1901,89
2227,2131,73
2466,2211,70
2451,2353,91
2066,715,70
2131,1810,74
1853,1272,100
2103,2088,100
2461,2131,71
2350,467,76
2350,1534,71
1810,1666,92
2350,2263,80
451,60,96
1364,860,76
2457,1862,82
1861,87,80
1740,1279,73
2164,1752,83
2426,1862,74
1752,1279,79
2461,2227,85
1567,1513,95
2350,1775,73
1279,322,85
1279,1182,85
1644,1279,85
1785,1279,85
1886,1279,85
2040,1279,85
2461,1810,85
2130,2067,76
2350,1282,73
1869,1752,79
2018,1977,78
2353,1985,85
2164,2022,88
2340,2164,88
1869,1279,85
2022,1279,83
2335,1279,83
2340,1279,83
1869,1740,71
1869,322,85
1869,1182,85
2350,1267,72
2285,1279,84
1869,1644,85
2461,1666,83
1869,1785,85
1886,1869,85
2040,1869,85
1185,449,77
1943,1402,96
1901,1279,79
2451,1402,91
2164,1740,71
2022,1869,83
2335,1869,83
2340,1869,83
2164,322,85
2164,1182,85
2018,1355,74
2067,1465,78
2164,1644,85
2164,1785,85
2164,1886,85
2451,1943,89
2164,2040,85
2457,2343,83
293,212,100
2353,1402,85
1832,1551,75
2067,1938,77
2067,2044,77
2179,2067,77
2206,2067,77
2375,2067,77
2415,2067,77
2416,2067,77
2451,2067,70
996,583,71
2198,1078,73
2067,1237,77
2067,1467,77
2341,1543,83
2067,1686,77
2067,1756,76
2067,1788,76
2451,1926,91
2082,2067,77
2109,2067,77
2213,2067,77
2335,2164,83
1511,838,78
2197,1396,100
2067,1629,73
2122,1862,78
2353,1926,86
2146,2067,75
1574,1396,99
2197,1574,99
2067,1699,75
2353,1943,82
1985,1977,81
2444,2067,75
2341,2078,77
1977,1125,88
2030,1148,100
2067,1366,71
2122,1466,82
1696,1512,72
2078,1561,92
1901,1869,77
1977,1875,88
1977,1905,88
2006,1977,88
2226,1977,88
2420,1977,88
2353,2130,80
1977,1355,75
2285,1752,73
1977,1908,88
2075,1977,88
2134,1977,88
2442,2067,75
2233,1007,73
2391,1148,98
2164,1279,80
2078,1543,89
1910,1868,100
2391,2030,98
2426,2343,72
2285,322,78
1985,1125,90
2285,1182,78
2067,1225,73
2457,1228,77
2067,1243,73
2405,1279,71
2285,1644,78
2028,1779,80
2285,1785,78
2067,1828,73
1985,1875,90
2285,1886,78
1985,1905,90
2130,1938,94
2045,1977,86
2006,1985,90
2226,1985,90
2420,1985,90
2067,1997,73
2130,2018,75
2285,2040,78
2179,2130,94
2206,2130,94
2375,2130,94
2416,2130,94
2451,2130,83
2457,2130,77
2233,698,71
2067,1120,73
1163,1121,100
1875,1125,100
1905,1125,100
2006,1125,100
2226,1125,100
2420,1125,100
1868,1151,98
1910,1151,98
2122,1228,82
1832,1348,71
2067,1435,73
2130,1467,93
2067,1476,73
2229,1489,76
1977,1600,85
2146,1629,94
2130,1686,93
2164,1869,81
1905,1875,100
2006,1875,100
2226,1875,100
2420,1875,100
2006,1905,100
2226,1905,100
2420,1905,100
1985,1908,90
2075,1908,100
2134,1908,100
2067,1970,72
2075,1985,90
